标注,顶深,底深,符号
L144_0,505.3,519.2,正旋回
L144_691,519.2,550.6,反旋回
L144_692,550.6,561.6,反旋回
正旋回,561.6,575.6,正旋回
L144_693,575.6,584.5,正旋回
L144_694,584.5,600.5,反旋回
L144_695,600.5,615.1,正旋回
L144_696,615.1,639.7,反旋回
L144_697,639.7,656.7,正旋回
L144_698,656.7,666.7,反旋回
L144_699,666.7,680,正旋回
L144_700,680,699.1,反旋回
L144_701,699.1,726.3,正旋回
L144_702,726.3,745.4,反旋回
L144_703,745.4,768,正旋回
正旋回,768,774,正旋回
L144_704,774,786.4,反旋回
L144_705,786.4,794.6,正旋回
L144_706,794.6,803.9,反旋回
L144_707,803.9,814.4,正旋回
L144_708,814.4,833.2,反旋回
L144_709,833.2,841.1,正旋回
L144_710,841.1,854,反旋回
L144_711,854,866,正旋回
L144_712,866,891.6,反旋回
L144_713,891.6,902.8,正旋回
L144_714,902.8,926.9,正旋回
L144_715,926.9,937.2,反旋回
L144_716,937.2,953.7,正旋回
L144_717,953.7,971.3,反旋回
L144_718,971.3,994.8,正旋回
L144_719,994.8,1009.1,反旋回
正旋回,1009.1,1024,正旋回
L144_720,1024,1039.3,正旋回
L144_721,1039.3,1046.7,反旋回
L144_722,1046.7,1061.2,正旋回
正旋回,1061.2,1071,正旋回
反旋回,1071,1080.3,反旋回
正旋回,1080.3,1087.1,正旋回
正旋回,1087.1,1097,正旋回
L144_724,1097,1104.8,正旋回
L144_725,1104.8,1114.3,反旋回
L144_726,1114.3,1131.6,正旋回
反旋回,1131.6,1147,反旋回
L144_727,1147,1158.1,反旋回
L144_728,1158.1,1167.8,正旋回
L144_729,1167.8,1184.5,反旋回
L144_730,1184.5,1197.7,正旋回
反旋回,1197.7,1207.3,反旋回
正旋回,1207.3,1212.5,正旋回
正旋回,1212.5,1232.1,正旋回
L144_732,1232.1,1255.5,正旋回
L144_733,1255.5,1279.3,反旋回
反旋回,1279.3,1287.5,反旋回
L144_734,1287.5,1305.4,正旋回
L144_735,1305.4,1324.7,反旋回
L144_736,1324.7,1339,正旋回
反旋回,1339,1357.5,反旋回
L144_737,1357.5,1379.3,反旋回
L144_738,1379.3,1407.6,正旋回
反旋回,1407.6,1426.8,反旋回
L144_739,1426.8,1435.1,反旋回
正旋回,1435.7,1446.6,正旋回
反旋回,1446.6,1460.9,反旋回
L144_740,1460.9,1474.8,正旋回
反旋回,1474.8,1494,反旋回
L144_741,1494,1518.9,反旋回
L144_742,1518.9,1541.4,正旋回
L144_743,1541.4,1556.4,正旋回
L144_744,1556.4,1567.6,反旋回
L144_745,1567.6,1581.8,正旋回
正旋回,1581.8,1591.8,正旋回
反旋回,1591.8,1612.5,反旋回
正旋回,1612.5,1633.7,正旋回
L144_748,1633.7,1653.7,正旋回
正旋回,1653.7,1665.4,正旋回
L144_749,1665.4,1674.9,反旋回
L144_750,1674.9,1681.7,正旋回
L144_751,1681.7,1689.4,反旋回
反旋回,1689.4,1701.6,反旋回
正旋回,1701.6,1711.4,正旋回
反旋回,1711.4,1716.6,反旋回
正旋回,1716.6,1726.7,正旋回
L144_754,1726.7,1733.1,反旋回
L144_755,1733.1,1741,正旋回
L144_756,1741,1748.9,反旋回
正旋回,1748.9,1761.3,正旋回
L144_757,1761.3,1774.4,正旋回
L144_758,1774.4,1798.4,反旋回
L144_759,1798.4,1808.6,正旋回
L144_760,1808.6,1819.7,反旋回
L144_761,1819.7,1828.5,正旋回
L144_763,1828.5,1844.3,正旋回
L144_764,1844.3,1858.4,反旋回
L144_765,1858.4,1878.6,反旋回
正旋回,1878.6,1892.9,正旋回
正旋回,1892.9,1910.1,正旋回
反旋回,1910.1,1932.6,反旋回
正旋回,1932.6,1941.2,正旋回
L144_767,1941.2,1950.6,反旋回
L144_768,1950.6,1964.8,正旋回
L144_769,1964.8,1977.6,反旋回
L144_770,1977.6,1996.1,正旋回
L144_771,1996.1,2008.4,反旋回
正旋回,2008.4,2022.7,正旋回
L144_772,2022.7,2036,正旋回
L144_773,2036,2050.4,反旋回
L144_774,2050.4,2065.1,反旋回
L144_775,2065.1,2078.4,正旋回
L144_776,2078.4,2091.5,反旋回
L144_777,2091.5,2103.2,正旋回
L144_778,2103.2,2126.4,反旋回
L144_780,2126.4,2142,反旋回
正旋回,2142,2159.1,正旋回
L144_781,2159.1,2168,正旋回
L144_782,2168,2180.5,反旋回
L144_783,2180.5,2199.1,正旋回
L144_784,2199.1,2210.8,正旋回
正旋回,2210.8,2220,正旋回
正旋回,2220,2226.4,正旋回
L144_785,2226.4,2237.7,正旋回
正旋回,2237.7,2250.6,正旋回
正旋回,2250.6,2263.9,正旋回
正旋回,2263.9,2279.6,正旋回
L144_788,2279.6,2295.4,反旋回
反旋回,2295.4,2304.7,反旋回
正旋回,2304.7,2318.8,正旋回
L144_792,2318.8,2333.5,正旋回
L144_794,2333.5,2349.7,正旋回
L144_795,2349.7,2369.2,正旋回
正旋回,2369.2,2390,正旋回
L144_799,2390,2399.5,正旋回
L144_800,2399.5,2411.2,正旋回
L144_801,2411.2,2419.8,反旋回
L144_802,2419.8,2434.8,反旋回
L144_803,2434.8,2440.9,正旋回
L144_804,2440.9,2454.1,反旋回
L144_805,2454.1,2475.3,正旋回
